"","Lane.Name","Study.ID","Sample","study","N50","Xcontigs","Totallength","Source","Country"
"24","26141_1#157",5341,"DASSIM7486835","DASSIM_1",191270,92,4966858,"Stool","Malawi"
"25","26141_1#158",5341,"DASSIM7486836","DASSIM_1",173030,101,5334477,"Stool","Malawi"
"26","26141_1#159",5341,"DASSIM7486837","DASSIM_1",97192,137,4837127,"Stool","Malawi"
"27","26141_1#160",5341,"DASSIM7486838","DASSIM_1",233352,93,5024228,"Stool","Malawi"
"28","26141_1#161",5341,"DASSIM7486840","DASSIM_1",97056,128,4835997,"Stool","Malawi"
"29","26141_1#162",5341,"DASSIM7486841","DASSIM_1",126528,171,5249707,"Stool","Malawi"
"30","26141_1#164",5341,"DASSIM7486843","DASSIM_1",91797,175,4946585,"Stool","Malawi"
"31","26141_1#165",5341,"DASSIM7486844","DASSIM_1",91797,174,4935354,"Stool","Malawi"
"32","26141_1#166",5341,"DASSIM7486846","DASSIM_1",165340,108,5168832,"Stool","Malawi"
"33","26141_1#168",5341,"DASSIM7486848","DASSIM_1",233363,78,4980660,"Stool","Malawi"
"34","26141_1#169",5341,"DASSIM7486849","DASSIM_1",97260,142,4836398,"Stool","Malawi"
"35","26141_1#170",5341,"DASSIM7486850","DASSIM_1",173896,96,4867775,"Stool","Malawi"
"36","26141_1#171",5341,"DASSIM7486851","DASSIM_1",191259,241,5010479,"Stool","Malawi"
"37","26141_1#172",5341,"DASSIM7486852","DASSIM_1",222887,81,5027716,"Stool","Malawi"
"38","26141_1#173",5341,"DASSIM7486853","DASSIM_1",222890,78,5024361,"Stool","Malawi"
"39","26141_1#174",5341,"DASSIM7486854","DASSIM_1",239980,106,5027162,"Stool","Malawi"
"40","26141_1#175",5341,"DASSIM7486855","DASSIM_1",404954,68,5015313,"Stool","Malawi"
"41","26141_1#176",5341,"DASSIM7486856","DASSIM_1",118863,140,4967461,"Stool","Malawi"
"42","26141_1#177",5341,"DASSIM7486857","DASSIM_1",249398,53,4873157,"Stool","Malawi"
"43","26141_1#178",5341,"DASSIM7486858","DASSIM_1",97316,144,4842825,"Stool","Malawi"
"44","26141_1#179",5341,"DASSIM7486859","DASSIM_1",133224,122,4850032,"Stool","Malawi"
"45","26141_1#180",5341,"DASSIM7486860","DASSIM_1",225549,58,4875089,"Stool","Malawi"
"46","26141_1#181",5341,"DASSIM7486861","DASSIM_1",204492,99,4908079,"Stool","Malawi"
"47","26141_1#182",5341,"DASSIM7486862","DASSIM_1",133224,116,4862843,"Stool","Malawi"
"48","26141_1#183",5341,"DASSIM7486863","DASSIM_1",126601,156,5125184,"Stool","Malawi"
"49","26141_1#184",5341,"DASSIM7486864","DASSIM_1",154938,89,4967104,"Stool","Malawi"
"50","26141_1#186",5341,"DASSIM7486866","DASSIM_1",192844,98,5196980,"Stool","Malawi"
"51","26141_1#187",5341,"DASSIM7486867","DASSIM_1",132069,114,4853143,"Stool","Malawi"
"52","26141_1#189",5341,"DASSIM7486869","DASSIM_1",210236,134,5342494,"Stool","Malawi"
"53","26141_1#190",5341,"DASSIM7486870","DASSIM_1",201425,123,5338171,"Stool","Malawi"
"54","26141_1#191",5341,"DASSIM7486871","DASSIM_1",156945,140,5432610,"Stool","Malawi"
"55","26141_1#192",5341,"DASSIM7486872","DASSIM_1",99469,193,5102469,"Stool","Malawi"
"56","26141_1#193",5341,"DASSIM7486873","DASSIM_1",99469,205,5154981,"Stool","Malawi"
"57","26141_1#194",5341,"DASSIM7486874","DASSIM_1",233352,101,5023346,"Stool","Malawi"
"58","26141_1#195",5341,"DASSIM7486875","DASSIM_1",106468,158,4971900,"Stool","Malawi"
"59","26141_1#196",5341,"DASSIM7486876","DASSIM_1",209178,96,5078494,"Stool","Malawi"
"60","26141_1#197",5341,"DASSIM7486877","DASSIM_1",233352,98,5020594,"Stool","Malawi"
"61","26141_1#198",5341,"DASSIM7486878","DASSIM_1",221680,123,5114288,"Stool","Malawi"
"62","26141_1#199",5341,"DASSIM7486879","DASSIM_1",211377,113,5101311,"Stool","Malawi"
"63","26141_1#200",5341,"DASSIM7486881","DASSIM_1",211370,114,5103902,"Stool","Malawi"
"64","26141_1#201",5341,"DASSIM7486882","DASSIM_1",204336,94,4904113,"Stool","Malawi"
"65","26141_1#202",5341,"DASSIM7486883","DASSIM_1",248198,123,5229889,"Stool","Malawi"
"66","26141_1#203",5341,"DASSIM7486884","DASSIM_1",106481,179,5126373,"Stool","Malawi"
"67","26141_1#204",5341,"DASSIM7486885","DASSIM_1",91797,180,5024280,"Stool","Malawi"
"68","26141_1#205",5341,"DASSIM7486886","DASSIM_1",91797,167,5010365,"Stool","Malawi"
"69","26141_1#206",5341,"DASSIM7486888","DASSIM_1",206614,122,5296100,"Stool","Malawi"
"70","26141_1#207",5341,"DASSIM7486889","DASSIM_1",131790,111,4694917,"Stool","Malawi"
"71","26141_1#208",5341,"DASSIM7486890","DASSIM_1",82303,172,5016804,"Stool","Malawi"
"72","26141_1#209",5341,"DASSIM7486892","DASSIM_1",241155,79,4833263,"Stool","Malawi"
"73","26141_1#210",5341,"DASSIM7486894","DASSIM_1",201442,221,5437925,"Stool","Malawi"
"74","26141_1#211",5341,"DASSIM7486895","DASSIM_1",214462,109,5245939,"Stool","Malawi"
"75","26141_1#212",5341,"DASSIM7486896","DASSIM_1",91797,162,4927799,"Stool","Malawi"
"76","26141_1#213",5341,"DASSIM7486897","DASSIM_1",147807,160,5037439,"Stool","Malawi"
"77","26141_1#214",5341,"DASSIM7486898","DASSIM_1",99443,186,5138956,"Stool","Malawi"
"78","26141_1#215",5341,"DASSIM7486899","DASSIM_1",407409,56,4776436,"Stool","Malawi"
"79","26141_1#217",5341,"DASSIM7486901","DASSIM_1",209764,81,5154693,"Stool","Malawi"
"80","26141_1#218",5341,"DASSIM7486902","DASSIM_1",129521,104,4827955,"Stool","Malawi"
"81","26141_1#219",5341,"DASSIM7486903","DASSIM_1",210234,122,5302895,"Stool","Malawi"
"82","26141_1#220",5341,"DASSIM7486904","DASSIM_1",73328,194,4908630,"Stool","Malawi"
"83","26141_1#221",5341,"DASSIM7486905","DASSIM_1",97252,129,4827827,"Stool","Malawi"
"84","26141_1#222",5341,"DASSIM7486906","DASSIM_1",101609,146,5414422,"Stool","Malawi"
"85","26141_1#223",5341,"DASSIM7486907","DASSIM_1",101512,151,5407206,"Stool","Malawi"
"86","26141_1#224",5341,"DASSIM7486909","DASSIM_1",179783,120,5180423,"Stool","Malawi"
"87","26141_1#225",5341,"DASSIM7486910","DASSIM_1",132553,139,5002115,"Stool","Malawi"
"88","26141_1#226",5341,"DASSIM7486911","DASSIM_1",97068,156,5002574,"Stool","Malawi"
"89","26141_1#227",5341,"DASSIM7486912","DASSIM_1",213110,89,5204726,"Stool","Malawi"
"90","26141_1#228",5341,"DASSIM7486913","DASSIM_1",212649,77,5182964,"Stool","Malawi"
"91","26141_1#229",5341,"DASSIM7486914","DASSIM_1",132500,163,5155014,"Stool","Malawi"
"92","26141_1#230",5341,"DASSIM7486915","DASSIM_1",185271,111,5141939,"Stool","Malawi"
"93","26141_1#232",5341,"DASSIM7486917","DASSIM_1",210215,93,4974264,"Stool","Malawi"
"94","26141_1#236",5341,"DASSIM7486921","DASSIM_1",126680,95,4779373,"Stool","Malawi"
"95","26141_1#237",5341,"DASSIM7486922","DASSIM_1",209880,135,5237236,"Stool","Malawi"
"96","26141_1#239",5341,"DASSIM7486924","DASSIM_1",170302,150,5395265,"Stool","Malawi"
"97","26141_1#240",5341,"DASSIM7486925","DASSIM_1",148760,108,4943156,"Stool","Malawi"
"98","26141_1#241",5341,"DASSIM7486926","DASSIM_1",473927,50,4772541,"Stool","Malawi"
"99","26141_1#242",5341,"DASSIM7486928","DASSIM_1",92256,159,4870163,"Stool","Malawi"
"100","26141_1#243",5341,"DASSIM7486929","DASSIM_1",262741,87,5089653,"Stool","Malawi"
"101","26141_1#244",5341,"DASSIM7486930","DASSIM_1",147249,154,5118752,"Stool","Malawi"
"102","26141_1#246",5341,"DASSIM7486932","DASSIM_1",262816,90,5068416,"Stool","Malawi"
"103","26141_1#247",5341,"DASSIM7486933","DASSIM_1",131396,134,4944116,"Stool","Malawi"
"104","26141_1#248",5341,"DASSIM7486934","DASSIM_1",90919,166,5022827,"Stool","Malawi"
"105","26141_1#250",5341,"DASSIM7486936","DASSIM_1",133214,116,4810102,"Stool","Malawi"
"106","26141_1#251",5341,"DASSIM7486937","DASSIM_1",133235,122,4813001,"Stool","Malawi"
"107","26141_1#252",5341,"DASSIM7486938","DASSIM_1",127999,104,4689564,"Stool","Malawi"
"108","26141_1#253",5341,"DASSIM7486939","DASSIM_1",382592,71,5344106,"Stool","Malawi"
"109","26141_1#254",5341,"DASSIM7486940","DASSIM_1",106493,139,4852316,"Stool","Malawi"
"110","26141_1#255",5341,"DASSIM7486942","DASSIM_1",191526,150,5417261,"Stool","Malawi"
"111","26141_1#256",5341,"DASSIM7486943","DASSIM_1",90676,170,4927769,"Stool","Malawi"
"112","26141_1#257",5341,"DASSIM7486944","DASSIM_1",213079,77,5122539,"Stool","Malawi"
"113","26141_1#258",5341,"DASSIM7486945","DASSIM_1",191261,91,4982460,"Stool","Malawi"
"114","26141_1#259",5341,"DASSIM7486946","DASSIM_1",109958,351,5898543,"Stool","Malawi"
"115","26141_1#260",5341,"DASSIM7486947","DASSIM_1",129521,324,5006969,"Stool","Malawi"
"116","26141_1#261",5341,"DASSIM7486948","DASSIM_1",473929,50,4772890,"Stool","Malawi"
"117","26141_1#262",5341,"DASSIM7486949","DASSIM_1",105902,146,5198349,"Stool","Malawi"
"118","26141_1#263",5341,"DASSIM7486950","DASSIM_1",205574,78,5101220,"Stool","Malawi"
"119","26141_1#265",5341,"DASSIM7486952","DASSIM_1",198302,90,5256485,"Stool","Malawi"
"120","26141_1#266",5341,"DASSIM7486953","DASSIM_1",433075,69,5341130,"Stool","Malawi"
"121","26141_1#267",5341,"DASSIM7486954","DASSIM_1",199812,128,5370731,"Stool","Malawi"
"122","26141_1#268",5341,"DASSIM7486955","DASSIM_1",210226,137,5422095,"Stool","Malawi"
"123","26141_1#270",5341,"DASSIM7486957","DASSIM_1",147250,122,5000061,"Stool","Malawi"
"124","26141_1#271",5341,"DASSIM7486958","DASSIM_1",233529,109,5022932,"Stool","Malawi"
"125","26141_1#272",5341,"DASSIM7486959","DASSIM_1",122942,118,5212024,"Stool","Malawi"
"126","26141_1#273",5341,"DASSIM7486960","DASSIM_1",101368,144,5407910,"Stool","Malawi"
"127","26141_1#274",5341,"DASSIM7486963","DASSIM_1",89604,170,4926500,"Stool","Malawi"
"128","26141_1#275",5341,"DASSIM7486964","DASSIM_1",473927,48,4781949,"Stool","Malawi"
"129","26141_1#276",5341,"DASSIM7486965","DASSIM_1",175481,149,5428610,"Stool","Malawi"
"130","26141_1#277",5341,"DASSIM7486966","DASSIM_1",220679,138,5394337,"Stool","Malawi"
"131","26141_1#278",5341,"DASSIM7486967","DASSIM_1",188970,135,5407531,"Stool","Malawi"
"132","26141_1#279",5341,"DASSIM7486968","DASSIM_1",204840,142,5414193,"Stool","Malawi"
"133","26141_1#280",5341,"DASSIM7486969","DASSIM_1",204837,129,5407589,"Stool","Malawi"
"134","26141_1#282",5341,"DASSIM7486971","DASSIM_1",473927,51,4780956,"Stool","Malawi"
"135","26141_1#283",5341,"DASSIM7486972","DASSIM_1",175729,109,5329497,"Stool","Malawi"
"136","26141_1#284",5341,"DASSIM7486973","DASSIM_1",168747,115,5193959,"Stool","Malawi"
"137","26141_1#285",5341,"DASSIM7486974","DASSIM_1",191259,97,4889649,"Stool","Malawi"
"138","26141_1#286",5341,"DASSIM7486975","DASSIM_1",156646,87,4922472,"Stool","Malawi"
"139","26141_1#287",5341,"DASSIM7486976","DASSIM_1",209009,110,5130004,"Stool","Malawi"
"140","26141_1#288",5341,"DASSIM7486977","DASSIM_1",132120,111,5092877,"Stool","Malawi"
"141","26141_1#289",5341,"DASSIM7486978","DASSIM_1",157648,121,5000445,"Stool","Malawi"
"142","26141_1#290",5341,"DASSIM7486979","DASSIM_1",140045,123,5354009,"Stool","Malawi"
"143","26141_1#291",5341,"DASSIM7486980","DASSIM_1",87675,190,4797004,"Stool","Malawi"
"144","26141_1#292",5341,"DASSIM7486981","DASSIM_1",209968,90,5148962,"Stool","Malawi"
"145","26141_1#293",5341,"DASSIM7486982","DASSIM_1",241224,72,4716270,"Stool","Malawi"
"146","26141_1#295",5341,"DASSIM7486984","DASSIM_1",135820,103,4837055,"Stool","Malawi"
"147","26141_1#296",5341,"DASSIM7486986","DASSIM_1",126561,150,5245627,"Stool","Malawi"
"148","26141_1#297",5341,"DASSIM7486987","DASSIM_1",132462,89,4778718,"Stool","Malawi"
"149","26141_1#298",5341,"DASSIM7486989","DASSIM_1",133170,116,4807464,"Stool","Malawi"
"150","26141_1#299",5341,"DASSIM7486990","DASSIM_1",138384,137,4953798,"Stool","Malawi"
"151","28099_1#1",5510,"DASSSIM27647386","DASSIM_2",323179,44,4953397,"Stool","Malawi"
"152","28099_1#10",5510,"DASSSIM27647388","DASSIM_2",176368,70,4965379,"Stool","Malawi"
"153","28099_1#100",5510,"DASSSIM27647508","DASSIM_2",87426,121,5006950,"Stool","Malawi"
"154","28099_1#102",5510,"DASSSIM27647313","DASSIM_2",152155,77,4758794,"Stool","Malawi"
"155","28099_1#103",5510,"DASSSIM27647412","DASSIM_2",196861,71,4798984,"Stool","Malawi"
"156","28099_1#104",5510,"DASSSIM27647509","DASSIM_2",349120,48,5077879,"Stool","Malawi"
"157","28099_1#106",5510,"DASSSIM27647314","DASSIM_2",138859,72,4786947,"Stool","Malawi"
"158","28099_1#107",5510,"DASSSIM27647413","DASSIM_2",228542,50,4759880,"Stool","Malawi"
"159","28099_1#11",5510,"DASSSIM27647486","DASSIM_2",322163,64,4994441,"Stool","Malawi"
"160","28099_1#110",5510,"DASSSIM27647315","DASSIM_2",404628,51,4978166,"Stool","Malawi"
"161","28099_1#111",5510,"DASSSIM27647414","DASSIM_2",219805,104,5507043,"Stool","Malawi"
"162","28099_1#112",5510,"DASSSIM27647511","DASSIM_2",147856,92,5152920,"Stool","Malawi"
"163","28099_1#114",5510,"DASSSIM27647316","DASSIM_2",119105,93,5400801,"Stool","Malawi"
"164","28099_1#115",5510,"DASSSIM27647415","DASSIM_2",131920,94,4972723,"Stool","Malawi"
"165","28099_1#116",5510,"DASSSIM27647512","DASSIM_2",89194,382,5458011,"Stool","Malawi"
"166","28099_1#118",5510,"DASSSIM27647317","DASSIM_2",42550,863,6066369,"Stool","Malawi"
"167","28099_1#119",5510,"DASSSIM27647416","DASSIM_2",192417,57,5213548,"Stool","Malawi"
"168","28099_1#120",5510,"DASSSIM27647513","DASSIM_2",229265,60,5152842,"Stool","Malawi"
"169","28099_1#123",5510,"DASSSIM27647417","DASSIM_2",125942,104,4948836,"Stool","Malawi"
"170","28099_1#125",5510,"DASSSIM27647515","DASSIM_2",136821,94,5088786,"Stool","Malawi"
"171","28099_1#127",5510,"DASSSIM27647319","DASSIM_2",106518,150,4867028,"Stool","Malawi"
"172","28099_1#128",5510,"DASSSIM27647418","DASSIM_2",98504,98,4471811,"Stool","Malawi"
"173","28099_1#129",5510,"DASSSIM27647516","DASSIM_2",26311,941,6018037,"Stool","Malawi"
"174","28099_1#131",5510,"DASSSIM27647320","DASSIM_2",140577,83,4970021,"Stool","Malawi"
"175","28099_1#132",5510,"DASSSIM27647419","DASSIM_2",140672,88,4909272,"Stool","Malawi"
"176","28099_1#133",5510,"DASSSIM27647518","DASSIM_2",473906,32,4765674,"Stool","Malawi"
"177","28099_1#135",5510,"DASSSIM27647321","DASSIM_2",133101,96,4697906,"Stool","Malawi"
"178","28099_1#136",5510,"DASSSIM27647420","DASSIM_2",121117,94,4863759,"Stool","Malawi"
"179","28099_1#137",5510,"DASSSIM27647519","DASSIM_2",329244,45,5034771,"Stool","Malawi"
"180","28099_1#139",5510,"DASSSIM27647322","DASSIM_2",245592,41,4698302,"Stool","Malawi"
"181","28099_1#14",5510,"DASSSIM27647389","DASSIM_2",185777,81,5291756,"Stool","Malawi"
"182","28099_1#141",5510,"DASSSIM27647520","DASSIM_2",258902,68,4850170,"Stool","Malawi"
"183","28099_1#143",5510,"DASSSIM27647323","DASSIM_2",88940,140,4831213,"Stool","Malawi"
"184","28099_1#144",5510,"DASSSIM27647422","DASSIM_2",172319,90,5034312,"Stool","Malawi"
"185","28099_1#145",5510,"DASSSIM27647521","DASSIM_2",36913,879,6097788,"Stool","Malawi"
"186","28099_1#148",5510,"DASSSIM27647423","DASSIM_2",178699,60,4955484,"Stool","Malawi"
"187","28099_1#149",5510,"DASSSIM27647522","DASSIM_2",253079,54,4790047,"Stool","Malawi"
"188","28099_1#151",5510,"DASSSIM27647325","DASSIM_2",219619,53,5231844,"Stool","Malawi"
"189","28099_1#152",5510,"DASSSIM27647424","DASSIM_2",140556,94,5094918,"Stool","Malawi"
"190","28099_1#153",5510,"DASSSIM27647523","DASSIM_2",209738,753,5623501,"Stool","Malawi"
"191","28099_1#155",5510,"DASSSIM27647326","DASSIM_2",276211,61,4965158,"Stool","Malawi"
"192","28099_1#156",5510,"DASSSIM27647425","DASSIM_2",257488,55,4818051,"Stool","Malawi"
"193","28099_1#157",5510,"DASSSIM27647524","DASSIM_2",105804,141,5071522,"Stool","Malawi"
"194","28099_1#159",5510,"DASSSIM27647327","DASSIM_2",202204,87,5054143,"Stool","Malawi"
"195","28099_1#160",5510,"DASSSIM27647426","DASSIM_2",122604,104,4943870,"Stool","Malawi"
"196","28099_1#161",5510,"DASSSIM27647525","DASSIM_2",77369,146,4929099,"Stool","Malawi"
"197","28099_1#163",5510,"DASSSIM27647328","DASSIM_2",241155,56,4844391,"Stool","Malawi"
"198","28099_1#165",5510,"DASSSIM27647526","DASSIM_2",213431,72,5291873,"Stool","Malawi"
"199","28099_1#167",5510,"DASSSIM27647329","DASSIM_2",171175,76,4625815,"Stool","Malawi"
"200","28099_1#168",5510,"DASSSIM27647428","DASSIM_2",242423,54,4882608,"Stool","Malawi"
"201","28099_1#169",5510,"DASSSIM27647527","DASSIM_2",106468,117,4901725,"Stool","Malawi"
"202","28099_1#171",5510,"DASSSIM27647330","DASSIM_2",234017,87,5363036,"Stool","Malawi"
"203","28099_1#172",5510,"DASSSIM27647429","DASSIM_2",107893,100,5401262,"Stool","Malawi"
"204","28099_1#173",5510,"DASSSIM27647528","DASSIM_2",179691,60,5328465,"Stool","Malawi"
"205","28099_1#175",5510,"DASSSIM27647331","DASSIM_2",245850,62,5408069,"Stool","Malawi"
"206","28099_1#176",5510,"DASSSIM27647430","DASSIM_2",128317,84,4759317,"Stool","Malawi"
"207","28099_1#177",5510,"DASSSIM27647529","DASSIM_2",168673,95,5123489,"Stool","Malawi"
"208","28099_1#179",5510,"DASSSIM27647332","DASSIM_2",189193,71,4794348,"Stool","Malawi"
"209","28099_1#18",5510,"DASSSIM27647390","DASSIM_2",175014,94,5159315,"Stool","Malawi"
"210","28099_1#180",5510,"DASSSIM27647431","DASSIM_2",135699,117,5329744,"Stool","Malawi"
"211","28099_1#181",5510,"DASSSIM27647530","DASSIM_2",126259,105,4967078,"Stool","Malawi"
"212","28099_1#185",5510,"DASSSIM27647531","DASSIM_2",185911,77,5356521,"Stool","Malawi"
"213","28099_1#187",5510,"DASSSIM27647335","DASSIM_2",241185,63,4809493,"Stool","Malawi"
"214","28099_1#188",5510,"DASSSIM27647433","DASSIM_2",208414,53,5291170,"Stool","Malawi"
"215","28099_1#189",5510,"DASSSIM27647532","DASSIM_2",350809,134,5192977,"Stool","Malawi"
"216","28099_1#19",5510,"DASSSIM27647488","DASSIM_2",224034,101,5412929,"Stool","Malawi"
"217","28099_1#191",5510,"DASSSIM27647336","DASSIM_2",316533,44,4867066,"Stool","Malawi"
"218","28099_1#192",5510,"DASSSIM27647434","DASSIM_2",91348,147,5284546,"Stool","Malawi"
"219","28099_1#193",5510,"DASSSIM27647533","DASSIM_2",189130,70,4800864,"Stool","Malawi"
"220","28099_1#195",5510,"DASSSIM27647337","DASSIM_2",123928,80,4795343,"Stool","Malawi"
"221","28099_1#196",5510,"DASSSIM27647435","DASSIM_2",140992,90,5125917,"Stool","Malawi"
"222","28099_1#199",5510,"DASSSIM27647338","DASSIM_2",203867,70,5188812,"Stool","Malawi"
"223","28099_1#2",5510,"DASSSIM27647484","DASSIM_2",153887,89,4947321,"Stool","Malawi"
"224","28099_1#200",5510,"DASSSIM27647436","DASSIM_2",129565,82,4702890,"Stool","Malawi"
"225","28099_1#203",5510,"DASSSIM27647339","DASSIM_2",138545,79,4762502,"Stool","Malawi"
"226","28099_1#204",5510,"DASSSIM27647437","DASSIM_2",113490,116,4920812,"Stool","Malawi"
"227","28099_1#205",5510,"DASSSIM27647536","DASSIM_2",302145,72,5016891,"Stool","Malawi"
"228","28099_1#207",5510,"DASSSIM27647340","DASSIM_2",207933,69,4725084,"Stool","Malawi"
"229","28099_1#208",5510,"DASSSIM27647438","DASSIM_2",258902,52,4849828,"Stool","Malawi"
"230","28099_1#209",5510,"DASSSIM27647537","DASSIM_2",135686,72,4789584,"Stool","Malawi"
"231","28099_1#211",5510,"DASSSIM27647341","DASSIM_2",123342,89,4488783,"Stool","Malawi"
"232","28099_1#212",5510,"DASSSIM27647439","DASSIM_2",189304,60,5187230,"Stool","Malawi"
"233","28099_1#213",5510,"DASSSIM27647440","DASSIM_2",279711,39,4870101,"Stool","Malawi"
"234","28099_1#214",5510,"DASSSIM27647538","DASSIM_2",57650,940,6331596,"Stool","Malawi"
"235","28099_1#216",5510,"DASSSIM27647342","DASSIM_2",129880,105,5327921,"Stool","Malawi"
"236","28099_1#217",5510,"DASSSIM27647441","DASSIM_2",241791,53,4842789,"Stool","Malawi"
"237","28099_1#218",5510,"DASSSIM27647539","DASSIM_2",106698,121,5127300,"Stool","Malawi"
"238","28099_1#22",5510,"DASSSIM27647391","DASSIM_2",222715,108,5418319,"Stool","Malawi"
"239","28099_1#220",5510,"DASSSIM27647343","DASSIM_2",272812,50,4780639,"Stool","Malawi"
"240","28099_1#221",5510,"DASSSIM27647442","DASSIM_2",84290,146,4833472,"Stool","Malawi"
"241","28099_1#222",5510,"DASSSIM27647540","DASSIM_2",315660,54,5000696,"Stool","Malawi"
"242","28099_1#224",5510,"DASSSIM27647344","DASSIM_2",373770,49,5375838,"Stool","Malawi"
"243","28099_1#225",5510,"DASSSIM27647443","DASSIM_2",77502,149,4829829,"Stool","Malawi"
"244","28099_1#226",5510,"DASSSIM27647541","DASSIM_2",110377,113,5111310,"Stool","Malawi"
"245","28099_1#228",5510,"DASSSIM27647345","DASSIM_2",352189,48,4742024,"Stool","Malawi"
"246","28099_1#229",5510,"DASSSIM27647444","DASSIM_2",106510,96,4489407,"Stool","Malawi"
"247","28099_1#23",5510,"DASSSIM27647489","DASSIM_2",184658,89,5155459,"Stool","Malawi"
"248","28099_1#230",5510,"DASSSIM27647542","DASSIM_2",133224,86,4902335,"Stool","Malawi"
"249","28099_1#232",5510,"DASSSIM27647346","DASSIM_2",253298,57,5076211,"Stool","Malawi"
"250","28099_1#233",5510,"DASSSIM27647445","DASSIM_2",150193,91,4962318,"Stool","Malawi"
"251","28099_1#234",5510,"DASSSIM27647543","DASSIM_2",196536,64,5139570,"Stool","Malawi"
"252","28099_1#236",5510,"DASSSIM27647348","DASSIM_2",101424,140,4863997,"Stool","Malawi"
"253","28099_1#238",5510,"DASSSIM27647544","DASSIM_2",415667,43,4877833,"Stool","Malawi"
"254","28099_1#240",5510,"DASSSIM27647349","DASSIM_2",289248,77,5139207,"Stool","Malawi"
"255","28099_1#241",5510,"DASSSIM27647447","DASSIM_2",107893,99,5328416,"Stool","Malawi"
"256","28099_1#242",5510,"DASSSIM27647545","DASSIM_2",119814,88,4578551,"Stool","Malawi"
"257","28099_1#244",5510,"DASSSIM27647350","DASSIM_2",137967,100,5151618,"Stool","Malawi"
"258","28099_1#245",5510,"DASSSIM27647448","DASSIM_2",256893,78,5409937,"Stool","Malawi"
"259","28099_1#246",5510,"DASSSIM27647546","DASSIM_2",94290,135,5005614,"Stool","Malawi"
"260","28099_1#248",5510,"DASSSIM27647351","DASSIM_2",21381,1128,6000454,"Stool","Malawi"
"261","28099_1#249",5510,"DASSSIM27647449","DASSIM_2",184663,86,5045714,"Stool","Malawi"
"262","28099_1#250",5510,"DASSSIM27647547","DASSIM_2",124931,975,6579307,"Stool","Malawi"
"263","28099_1#252",5510,"DASSSIM27647352","DASSIM_2",192394,63,4867668,"Stool","Malawi"
"264","28099_1#253",5510,"DASSSIM27647450","DASSIM_2",225270,81,5415745,"Stool","Malawi"
"265","28099_1#254",5510,"DASSSIM27647548","DASSIM_2",260089,69,5172335,"Stool","Malawi"
"266","28099_1#256",5510,"DASSSIM27647353","DASSIM_2",327400,55,4848817,"Stool","Malawi"
"267","28099_1#257",5510,"DASSSIM27647452","DASSIM_2",303473,51,5254771,"Stool","Malawi"
"268","28099_1#258",5510,"DASSSIM27647549","DASSIM_2",142708,464,5778014,"Stool","Malawi"
"269","28099_1#26",5510,"DASSSIM27647392","DASSIM_2",273878,60,4879138,"Stool","Malawi"
"270","28099_1#260",5510,"DASSSIM27647354","DASSIM_2",210017,67,5399406,"Stool","Malawi"
