HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2005,UK,United Kingdom,39,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,AT,Austria,27,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,BE,Belgium,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,BG,Bulgaria,33,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,CY,Cyprus,7,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,CZ,Czech Republic,393,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,DE,Germany,21,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,DK,Denmark,17,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,EE,Estonia,4,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,EL,Greece,512,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,ES,Spain,55,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,FI,Finland,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,FR,France,72,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,HR,Croatia,70,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,HU,Hungary,61,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,IE,Ireland,19,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,IS,Iceland,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,IT,Italy,109,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,LT,Lithuania,8,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,LU,Luxembourg,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,LV,Latvia,10,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,MT,Malta,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,NL,Netherlands,14,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,NO,Norway,8,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,PL,Poland,16,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,PT,Portugal,65,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,RO,Romania,30,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,SE,Sweden,12,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,SI,Slovenia,35,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,SK,Slovakia,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2006,UK,United Kingdom,33,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,AT,Austria,36,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,BE,Belgium,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,BG,Bulgaria,16,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,CY,Cyprus,12,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,CZ,Czech Republic,562,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,DE,Germany,13,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,DK,Denmark,54,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,EE,Estonia,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,EL,Greece,615,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,ES,Spain,60,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,FI,Finland,4,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,FR,France,134,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,HR,Croatia,113,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,HU,Hungary,81,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,IE,Ireland,21,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,IS,Iceland,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,IT,Italy,129,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,LT,Lithuania,12,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,LU,Luxembourg,1,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,LV,Latvia,14,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,MT,Malta,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,NL,Netherlands,31,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,NO,Norway,12,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,PL,Poland,11,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,PT,Portugal,63,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,RO,Romania,24,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,SE,Sweden,11,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,SI,Slovenia,48,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,SK,Slovakia,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2007,UK,United Kingdom,42,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,AT,Austria,47,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,BE,Belgium,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,BG,Bulgaria,36,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,CY,Cyprus,22,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,CZ,Czech Republic,712,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,DE,Germany,27,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,DK,Denmark,65,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,EE,Estonia,10,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,EL,Greece,717,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,ES,Spain,77,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,FI,Finland,6,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,FR,France,198,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,HR,Croatia,180,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,HU,Hungary,129,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,IE,Ireland,35,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,IS,Iceland,1,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,IT,Italy,113,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,LT,Lithuania,21,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,LU,Luxembourg,10,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,LV,Latvia,26,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,MT,Malta,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,NL,Netherlands,36,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,NO,Norway,14,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,PL,Poland,7,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,PT,Portugal,155,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,RO,Romania,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,SE,Sweden,19,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,SI,Slovenia,42,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,SK,Slovakia,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2008,UK,United Kingdom,23,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,AT,Austria,47,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,BE,Belgium,22,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,BG,Bulgaria,66,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,CY,Cyprus,22,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,CZ,Czech Republic,737,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,DE,Germany,65,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,DK,Denmark,73,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,EE,Estonia,10,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,EL,Greece,1153,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,ES,Spain,72,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,FI,Finland,5,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,FR,France,280,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,HU,Hungary,138,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,IE,Ireland,36,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,IS,Iceland,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,IT,Italy,103,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,LT,Lithuania,38,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,LU,Luxembourg,7,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,LV,Latvia,24,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,MT,Malta,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,NL,Netherlands,24,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,NO,Norway,20,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,PL,Poland,70,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,PT,Portugal,160,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,RO,Romania,11,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,SE,Sweden,0,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,SI,Slovenia,62,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2009,UK,United Kingdom,54,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,AT,Austria,93,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,BE,Belgium,18,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,BG,Bulgaria,100,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,CY,Cyprus,24,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,CZ,Czech Republic,651,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,DE,Germany,64,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,DK,Denmark,61,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,EE,Estonia,21,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,EL,Greece,1284,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,ES,Spain,120,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,FI,Finland,16,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,FR,France,297,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,HR,Croatia,160,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,HU,Hungary,235,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,IE,Ireland,32,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,IS,Iceland,1,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,IT,Italy,331,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,LT,Lithuania,42,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,LU,Luxembourg,3,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,LV,Latvia,36,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,MT,Malta,7,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,NL,Netherlands,46,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,NO,Norway,13,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,PL,Poland,95,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,PT,Portugal,178,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,RO,Romania,12,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,SE,Sweden,26,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,SI,Slovenia,44,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2010,UK,United Kingdom,82,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,AT,Austria,108,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,BE,Belgium,96,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,BG,Bulgaria,99,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,CY,Cyprus,34,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,CZ,Czech Republic,664,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,DE,Germany,67,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,DK,Denmark,78,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,EE,Estonia,17,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,EL,Greece,1287,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,ES,Spain,158,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,FI,Finland,19,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,FR,France,442,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,HR,Croatia,149,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,HU,Hungary,230,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,IE,Ireland,25,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,IS,Iceland,2,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,IT,Italy,299,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,LT,Lithuania,83,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,LU,Luxembourg,17,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,LV,Latvia,26,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,MT,Malta,10,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,NL,Netherlands,58,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,NO,Norway,16,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,PL,Poland,170,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,PT,Portugal,223,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,RO,Romania,11,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,SE,Sweden,28,
Antimicrobial resistance,Klebsiella pneumoniae|Third-generation cephalosporins,Non-susceptible (I and R) isolates,N,2011,SI,Slovenia,75,
